example_id,relevance,groundedness,helpfulness,tone_fit,completeness,unsupported_claims,seconds_spent,rated_at
559291,2,4,3,3,2,0,228.3,2026-09-13T17:48:57.623667+00:00
464786,2,4,3,4,5,0,87.2,2026-09-13T17:50:24.859646+00:00
2980662,3,4,5,2,3,0,18.3,2026-09-13T17:50:43.123898+00:00
460328,2,4,5,3,5,0,12.3,2026-09-13T17:50:55.382091+00:00
565509,1,3,5,4,2,1,14.1,2026-09-13T17:51:09.484829+00:00
2971763,1,3,5,2,4,0,8.7,2026-09-13T17:51:18.163575+00:00
2927259,2,3,4,5,3,0,7.6,2026-09-13T17:51:25.793069+00:00
561124,2,4,5,3,4,0,7.0,2026-09-13T17:51:32.838602+00:00
458827,4,3,2,5,3,0,6.6,2026-09-13T17:51:39.448599+00:00
561153,2,3,4,5,4,0,8.1,2026-09-13T17:51:47.598595+00:00
597214,4,3,4,5,3,0,10.8,2026-09-13T17:51:58.446346+00:00
2901719,4,3,4,5,3,0,9.5,2026-09-13T17:52:07.973073+00:00
2872803,5,2,3,4,2,0,4.9,2026-09-13T17:52:12.894890+00:00
2894845,4,3,5,2,3,0,5.8,2026-09-13T17:52:18.669314+00:00
457266,2,4,4,3,5,1,7.9,2026-09-13T17:52:26.551101+00:00
490963,3,2,4,5,5,0,3.4,2026-09-13T17:52:29.930408+00:00
2909735,4,2,5,3,3,0,6.7,2026-09-13T17:52:36.650146+00:00
2890153,5,3,2,5,3,0,5.1,2026-09-13T17:52:41.706768+00:00
2898152,5,2,4,3,2,0,4.9,2026-09-13T17:52:46.617322+00:00
2914747,1,2,4,1,5,0,7.2,2026-09-13T17:52:53.807018+00:00
569000,2,4,3,5,2,0,6.8,2026-09-13T17:53:00.642315+00:00
564389,4,2,5,3,2,0,5.1,2026-09-13T17:53:05.725507+00:00
2903394,2,3,4,5,3,0,6.5,2026-09-13T17:53:12.253931+00:00
460357,4,3,5,2,3,1,5.4,2026-09-13T17:53:17.660375+00:00
447712,2,3,4,5,3,0,3.2,2026-09-13T17:53:20.897858+00:00
2914754,4,3,5,2,4,0,4.2,2026-09-13T17:53:25.132280+00:00
542659,3,2,4,5,3,0,6.0,2026-09-13T17:53:31.113370+00:00
2914719,2,5,4,3,5,0,5.5,2026-09-13T17:53:36.620775+00:00
525111,4,3,5,4,3,0,5.1,2026-09-13T17:53:41.765628+00:00
2969316,3,4,5,2,3,0,5.1,2026-09-13T17:53:46.898449+00:00
