conversation_id,customer_tweet_id,customer_text,customer_created_at,depth,brand_tweet_ids,brand_reply_text,brand_first_reply_at,n_brand_replies,reply_word_count,is_deflection,deflection_only,conv_max_depth,customer_thanked_after,is_thread_opener,split,has_exact_twin_in_history
63872,80408,@hulu_support Oh I’m very disappointed to be honest,2017-11-30 04:52:46+00:00,2,80407,"@133855 Trust that we hear you! We've saddened to not have the rights to the entire sequences as well. The request for access to all of episode 22, as well as the Mick Jagger portion has been requested as promised. Fingers crossed! 💚",2017-11-30 13:11:12+00:00,1,43,False,False,3,False,False,gold_pool,False
63872,80410,"@5185 why do you edit past shows for?I got @115940 and I realized that on the episode 22 of season 37 Kristen Wiig’s last skit isn’t on there,and not even Mick Jagger’s Thanking everybody for hosting.Can someone fix this?",2017-11-30 03:26:56+00:00,0,80409,"@133855 Hey there, Alonzo! Some sketches and skits are unavailable due to streaming rights for certain episodes. Apologies for any disappointment! We'll definitely pass along your feedback on this to our team.",2017-11-30 04:51:08+00:00,1,33,False,False,3,False,True,gold_pool,False
65510,83285,@hulu_support I’m using Live TV and now the shows I subscribe to are all DVRed low quality and I can’t even FF through commercials. Can I opt out of that?,2017-11-30 06:16:38+00:00,0,83284,"@134296 Hello, Katie! Apologies for any confusion, and we'd like to help. The No Commercials plan applies to content in our On-Demand library only. Currently the only way fast forward through commercials is by using the Enhanced Cloud DVR feature (https://t.co/srJXx4YRno).",2017-11-30 13:30:48+00:00,1,46,False,False,1,False,True,gold_pool,False
65513,83287,@hulu_support Hey @hulu_support when signing up I never got the option of setting up a password. I tried to recover and haven’t received an email after multiple times of trying.,2017-11-30 05:07:49+00:00,1,83286,"@134297 Oh no! We can definitely get this resolved for you, Tina! Head to: https://t.co/LkhXOWWq74 to try to track down your account. If no luck, call us directly at the number listed there so we can sort this out ASAP!",2017-11-30 13:28:00+00:00,1,43,False,False,2,False,False,gold_pool,False
65515,83290,Can @3031 be added to @115940?? 😫😫...please!  I’ve waited so long  for @134299  to come back. #please,2017-11-30 04:49:15+00:00,0,83289,"@134298 Hey there! We'll definitely pass along your request. 👍 We're always looking to add more content that our users love most, so thanks for sharing! For now, make sure you bookmark: https://t.co/r9MCqHxrfq to keep up with what's coming next to Hulu. 💚",2017-11-30 13:27:28+00:00,1,47,False,False,1,False,True,gold_pool,False
65519,83292,@hulu_support Awesome thanks 👍,2017-11-30 13:51:51+00:00,2,83294,"@134300 You're welcome, Clare! If you think of any other changes you'd like to see implemented in the future, please don't hesitate to ket us know. We'll be here to offer support. #happystreaming 💚",2017-11-30 16:39:42+00:00,1,37,False,False,3,False,False,gold_pool,False
65519,83293,"Seriously @hulu_support this is how GARBAGE your interface is, the line ABOVE the word denotes selected item? In what other UX in the damn world does this happen? None because it’s illogical and garbage. Like your interface. Ps: I’ve had a bad day and this made me lose it sorry. https://t.co/WybLZOECsq",2017-11-30 04:43:21+00:00,0,83291,"@134300 Our apologies for any upset, Clare! We'll definitely be sure to pass this along to the team. We've been making updates based on what we've been seeing an hearing from users, so stay tuned at: https://t.co/kWb8XQO2mG and https://t.co/4P3IA9qbP9 for updates! 👍",2017-11-30 13:24:01+00:00,1,50,False,False,3,True,True,gold_pool,False
67060,85966,@hulu_support i created an account yesterday. for some reason my passwords are not working. i have rest three times now and still can't login. can you help me out?,2017-11-30 05:31:46+00:00,0,85965,"@134773 Sure can! For 1:1 assistance with this, please give us a call at the number here: https://t.co/LkhXOWWq74. We'll take a look and see what's going on.",2017-11-30 14:14:32+00:00,1,33,False,False,1,False,True,gold_pool,False
67067,85977,"@hulu_support Yes I did. When I log in I am prompted to select a plan, as if I was a new customer",2017-11-30 05:22:09+00:00,2,85976,@134775 Gotcha! We received your DM and we'll follow up with you there. Talk to you soon!,2017-11-30 13:55:58+00:00,1,18,True,True,3,False,False,gold_pool,False
67067,85979,"@hulu_support Why does the support number online just act as an advertisement vehicle? I signed up for Spotify student, connected my current hulu account, and now can't access hulu.  Why not?",2017-11-30 04:52:09+00:00,0,85978,"@134775 We're sorry to hear about the trouble! Did you follow the steps listed here: https://t.co/eLkTYA6geI? What happens when you try to access Hulu? Any errors? The more info you can share, the better.",2017-11-30 05:21:22+00:00,1,38,False,False,3,False,True,gold_pool,False
67069,85981,@hulu_support For the last few weeks to a month I've been having playback issues. Lots of stuttering and stopping and I have to pause and rewind to resume playback as usual. This has happened on two different LG TVs and on the kindle app.,2017-11-30 04:58:28+00:00,0,85980,"@134776 We're so sorry to hear about the trouble, Jenn! That definitely sounds frustrating—we'd love to help! Have you tried: https://t.co/3uvet4t5u0 on your LG TV's and: https://t.co/zy1XTwFsTg on your tablet (first, make sure it's supported: https://t.co/phEEdCNnIx) ?",2017-11-30 13:55:40+00:00,1,50,False,False,1,False,True,gold_pool,False
