brand,n_outbound_tweets,deflection_rate_loose_pct,deflection_rate_strict_pct,mean_reply_words,n_conversations_unambiguous,n_inbound_in_unambiguous_convs,n_multiturn_unambiguous_depth_ge_2,pct_multiturn_unambiguous_depth_ge_2,mean_conversation_size_unambiguous,n_multibrand_convs_participated,n_inbound_in_multibrand_convs_participated,first_seen,last_seen
AmazonHelp,169840,0.65,0.55,22.2,82246,202176,47439,57.68,4.52,310,1422,2015-06-13 02:16:59+00:00,2017-12-03 23:13:02+00:00
AppleSupport,106860,52.51,20.91,26.5,80552,131077,27965,34.72,2.95,165,687,2016-03-03 13:00:08+00:00,2017-12-03 23:12:28+00:00
Uber_Support,56270,35.5,30.71,21.3,41848,71555,14711,35.15,3.05,75,599,2014-12-20 00:00:42+00:00,2017-12-03 22:58:03+00:00
SpotifyCares,43265,30.86,13.14,25.1,28224,48190,9945,35.24,3.23,56,353,2013-09-18 19:23:17+00:00,2017-12-03 22:56:04+00:00
AmericanAir,36764,18.88,15.05,19.7,25941,48608,11114,42.84,3.27,445,1446,2011-06-16 13:49:04+00:00,2017-12-03 22:57:54+00:00
Delta,42253,16.46,12.57,18.7,25907,44308,9235,35.65,3.32,261,988,2016-04-14 13:01:26+00:00,2017-12-03 22:56:56+00:00
comcastcares,33031,71.49,38.27,24.4,23802,37787,7002,29.42,2.94,261,1792,2015-11-07 20:53:45+00:00,2017-12-03 22:55:50+00:00
TMobileHelp,34317,82.79,49.73,23.7,22447,43301,8150,36.31,3.38,373,3857,2013-05-08 00:06:46+00:00,2017-12-03 22:56:35+00:00
SouthwestAir,28977,16.97,9.99,21.7,21389,34637,6822,31.89,2.96,247,733,2008-05-08 20:13:59+00:00,2017-12-03 22:53:40+00:00
Ask_Spectrum,25860,49.51,19.98,25.2,18374,31778,6149,33.47,3.11,158,1474,2015-04-27 17:13:27+00:00,2017-12-03 23:07:38+00:00
Tesco,38573,26.84,9.35,26.9,16566,32562,7941,47.94,4.26,156,1666,2014-10-12 17:25:07+00:00,2017-12-03 22:56:30+00:00
British_Airways,29361,14.0,5.47,23.3,16342,30798,6940,42.47,3.67,110,389,2012-04-30 10:24:18+00:00,2017-12-03 22:22:36+00:00
UPSHelp,17817,68.37,31.35,26.8,15155,24054,4920,32.46,2.73,368,1670,2012-12-14 01:43:51+00:00,2017-12-03 23:04:56+00:00
hulu_support,21872,0.54,0.24,25.0,14871,25889,5742,38.61,3.2,84,918,2014-08-08 02:18:50+00:00,2017-12-03 23:12:39+00:00
VirginTrains,27817,2.61,2.31,15.8,14766,37286,8900,60.27,4.39,87,546,2012-03-12 16:52:06+00:00,2017-12-03 22:50:17+00:00
ChipotleTweets,18749,1.14,1.09,13.8,14385,23065,4852,33.73,2.91,7,19,2012-09-21 01:41:02+00:00,2017-12-03 22:58:27+00:00
XboxSupport,24557,20.93,14.09,21.7,13354,30426,7248,54.28,4.08,101,1969,2012-06-15 23:37:11+00:00,2017-12-03 23:12:44+00:00
sprintcare,22381,47.82,30.45,21.9,13171,26426,5569,42.28,3.6,389,3786,2011-11-28 18:42:30+00:00,2017-12-03 22:41:39+00:00
AskPlayStation,19098,29.0,28.61,17.4,12519,23760,5709,45.6,3.42,14,194,2010-08-30 17:17:10+00:00,2017-12-03 22:43:10+00:00
AskTarget,13218,33.97,8.06,30.7,11103,17190,3704,33.36,2.73,48,177,2016-07-11 22:23:12+00:00,2017-12-03 22:55:26+00:00
ATVIAssist,17650,23.71,21.31,19.8,11062,29143,5257,47.52,4.18,51,1378,2014-05-17 21:27:54+00:00,2017-12-03 23:12:36+00:00
sainsburys,19466,23.04,6.21,22.7,10748,22183,5686,52.9,3.84,186,1527,2013-10-25 17:26:49+00:00,2017-12-03 23:04:52+00:00
GWRHelp,19364,1.42,1.13,19.8,10636,26831,6749,63.45,4.32,96,447,2013-02-11 13:04:16+00:00,2017-12-03 23:04:58+00:00
AskLyft,11809,56.2,28.67,23.8,10126,15064,2830,27.95,2.65,44,235,2015-08-20 23:38:28+00:00,2017-12-03 22:54:53+00:00
O2,16212,28.2,14.82,21.7,9521,20053,4394,46.15,3.8,35,192,2012-07-11 15:38:04+00:00,2017-12-03 18:59:24+00:00
AskPayPal,11298,73.7,40.9,24.4,9437,15088,2874,30.45,2.78,152,454,2015-04-26 15:05:45+00:00,2017-12-03 23:12:50+00:00
Safaricom_Care,16077,19.25,18.45,14.4,9337,17650,4375,46.86,3.61,0,0,2013-02-20 17:45:34+00:00,2017-12-03 21:48:02+00:00
McDonalds,8478,0.68,0.18,16.0,8121,10684,1368,16.85,2.36,11,263,2013-05-03 18:06:19+00:00,2017-12-03 22:13:25+00:00
VerizonSupport,17966,11.68,10.81,16.5,8073,24065,5224,64.71,5.14,374,2587,2013-04-20 13:54:21+00:00,2017-12-03 22:58:00+00:00
marksandspencer,11504,11.25,4.19,21.2,7927,13638,3122,39.38,3.16,50,646,2013-11-18 20:25:17+00:00,2017-12-03 21:51:09+00:00
ArgosHelpers,12174,29.84,21.67,20.1,7513,15934,3991,53.12,3.73,40,160,2014-09-06 07:45:10+00:00,2017-12-03 23:12:07+00:00
idea_cares,15724,20.57,11.27,23.8,7510,18941,4021,53.54,4.61,12,105,2015-12-11 04:01:35+00:00,2017-12-03 22:23:00+00:00
AirAsiaSupport,12829,17.41,16.03,19.3,6763,14155,2851,42.16,3.99,0,0,2013-12-18 03:13:40+00:00,2017-12-03 23:01:59+00:00
ChaseSupport,8811,47.47,14.61,25.7,6740,9682,1681,24.94,2.72,147,377,2013-07-08 14:33:22+00:00,2017-12-03 21:45:31+00:00
AldiUK,8114,28.42,14.86,20.5,6591,10032,2003,30.39,2.75,41,595,2013-01-21 16:02:46+00:00,2017-12-03 15:44:48+00:00
BofA_Help,12683,6.39,4.45,20.0,6500,11765,2450,37.69,3.73,83,306,2013-03-06 20:28:08+00:00,2017-12-03 00:58:45+00:00
SW_Help,12231,0.71,0.54,21.1,6158,15853,3920,63.66,4.54,66,459,2012-11-02 16:09:50+00:00,2017-12-03 22:26:07+00:00
AirbnbHelp,8875,59.49,19.98,27.6,6026,11157,2168,35.98,3.32,7,23,2015-06-08 19:31:34+00:00,2017-12-03 22:57:43+00:00
Ask_WellsFargo,7578,38.47,8.64,26.2,5991,8783,1607,26.82,2.72,45,217,2012-09-26 20:55:46+00:00,2017-12-03 22:22:28+00:00
Morrisons,10126,25.36,19.24,18.3,5911,10462,2620,44.32,3.47,49,558,2015-05-11 08:44:35+00:00,2017-12-03 22:55:19+00:00
AlaskaAir,7478,13.21,8.75,16.4,5567,9184,1939,34.83,2.98,62,158,2014-09-09 21:07:03+00:00,2017-12-03 22:24:24+00:00
AskeBay,9686,28.55,11.97,27.2,5530,10920,2460,44.48,3.68,132,399,2016-01-04 05:50:05+00:00,2017-12-03 22:33:57+00:00
JetBlue,8020,10.61,7.54,18.5,5140,9596,2437,47.41,3.41,41,142,2010-07-05 02:39:13+00:00,2017-12-03 22:47:02+00:00
AdobeCare,9917,9.1,2.33,23.8,5085,11041,2496,49.09,4.12,9,34,2017-05-17 19:49:02+00:00,2017-12-03 22:36:30+00:00
CoxHelp,7861,44.28,34.19,21.5,4817,9281,2100,43.6,3.54,57,737,2013-12-09 01:53:11+00:00,2017-12-03 22:56:24+00:00
MicrosoftHelps,11304,7.8,3.76,24.9,4394,12856,2999,68.25,5.47,64,234,2013-10-08 01:42:01+00:00,2017-12-03 22:48:30+00:00
AskAmex,11358,1.63,1.5,17.7,4264,9299,2299,53.92,4.82,36,166,2015-08-28 17:48:59+00:00,2017-12-03 22:55:37+00:00
airtel_care,9881,17.98,16.06,18.2,4006,8191,1570,39.19,4.49,19,117,2014-08-27 07:29:33+00:00,2017-12-03 17:31:48+00:00
HPSupport,7200,38.86,21.28,26.0,3839,5334,885,23.05,3.26,2,5,2015-06-23 18:25:14+00:00,2017-12-03 22:53:18+00:00
LondonMidland,6822,1.0,0.79,18.1,3627,9063,2304,63.52,4.36,51,241,2016-04-13 17:16:02+00:00,2017-12-03 15:56:22+00:00
GreggsOfficial,4522,17.03,16.48,10.0,3334,6337,1551,46.52,3.25,10,39,2015-12-10 08:51:31+00:00,2017-12-02 16:28:51+00:00
AzureSupport,7565,18.96,15.56,18.4,3305,7149,1759,53.22,4.45,4,14,2017-01-13 18:13:21+00:00,2017-12-03 21:34:04+00:00
GloCare,6308,1.7,1.65,17.8,3209,8532,1800,56.09,4.61,10,56,2013-07-20 21:14:51+00:00,2017-12-03 19:41:57+00:00
DropboxSupport,5954,19.87,8.05,26.5,3172,5588,1176,37.07,3.63,8,50,2017-05-24 21:20:23+00:00,2017-12-02 01:11:08+00:00
AskPapaJohns,3908,62.13,51.48,18.5,3153,5018,1034,32.79,2.83,0,0,2016-05-05 16:11:36+00:00,2017-12-03 22:28:32+00:00
TacoBellTeam,4082,40.25,40.2,10.9,3105,4896,1164,37.49,2.89,5,15,2017-03-16 22:44:46+00:00,2017-12-03 22:43:07+00:00
Postmates_Help,3346,77.2,75.37,16.0,2998,4395,823,27.45,2.58,12,27,2015-08-19 17:20:25+00:00,2017-12-03 21:25:41+00:00
CenturyLinkHelp,3801,78.11,58.8,22.6,2928,5065,1029,35.14,3.0,60,660,2014-07-30 12:59:07+00:00,2017-12-03 21:14:52+00:00
